id,category,amount
161,Food,470.57
162,Rent,4148.45
163,Food,27.69
164,Travel,3189.2
165,Shopping,816.29
166,Rent,2762.89
167,Rent,2808.93
168,Food,385.47
169,Travel,2732.5
170,Shopping,2916.72
171,Travel,2154.64
172,Food,1548.21
173,Food,4495.63
174,Travel,3413.51
175,Food,1774.86
176,Utilities,4421.83
177,Rent,4869.45
178,Travel,4629.56
179,Travel,4324.38
180,Travel,4408.27
181,Food,905.01
182,Shopping,3914.11
183,Rent,4013.15
184,Travel,1341.36
185,Food,1918.88
186,Food,4294.38
187,Travel,1005.87
188,Rent,1754.8
189,Travel,1122.39
190,Travel,1998.35
191,Shopping,4323.12
192,Shopping,1762.22
193,Utilities,2004.4
194,Utilities,1662.44
195,Food,585.56
196,Shopping,901.05
197,Shopping,200.9
198,Utilities,2178.47
199,Shopping,2187.61
200,Utilities,587.07
201,Utilities,958.49
202,Food,3546.84
203,Food,2604.4
204,Utilities,3437.42
205,Travel,1827.47
206,Food,4744.88
207,Shopping,3119.55
208,Food,3601.57
209,Shopping,2540.54
210,Rent,1637.65
211,Shopping,2776.52
212,Travel,2108.03
213,Rent,3389.82
214,Travel,3081.42
215,Shopping,2036.32
216,Food,1526.34
217,Travel,2155.14
218,Utilities,3037.24
219,Shopping,2330.29
220,Rent,3381.38
221,Utilities,2371.2
222,Travel,3297.67
223,Shopping,2582.11
224,Utilities,1682.59
225,Travel,3367.25
226,Travel,4034.75
227,Travel,131.88
228,Travel,4919.84
229,Utilities,4250.19
230,Food,2282.53
231,Utilities,980.23
232,Rent,2476.94
233,Travel,746.38
234,Food,4464.37
235,Food,3894.32
236,Travel,887.67
237,Utilities,2328.1
238,Utilities,1253.5
239,Food,2287.74
240,Rent,3341.21
241,Utilities,2981.31
242,Rent,3067.14
243,Utilities,2139.44
244,Utilities,2235.11
245,Travel,3720.84
246,Rent,2255.85
247,Travel,4200.92
248,Shopping,3831.41
249,Utilities,2428.14
250,Travel,1380.24
251,Food,3570.59
252,Travel,1365.86
253,Shopping,4466.2
254,Food,700.49
255,Travel,1921.35
256,Travel,3535.03
257,Food,2080.19
258,Shopping,2717.63
259,Rent,320.71
260,Rent,1953.49
261,Utilities,4730.85
262,Food,4285.09
263,Utilities,1908.1
264,Food,4714.28
265,Shopping,3769.84
266,Rent,2695.72
267,Utilities,4001.34
268,Travel,2446.27
269,Shopping,2184.82
270,Food,1950.4
271,Rent,3623.67
272,Rent,4598.51
273,Utilities,2675.28
274,Rent,2963.54
275,Food,428.9
276,Rent,687.14
277,Rent,916.83
278,Shopping,1901.73
279,Travel,2278.95
280,Shopping,3808.54
281,Rent,1398.5
282,Rent,1268.83
283,Food,2356.83
284,Utilities,269.91
285,Shopping,1128.87
286,Food,3908.35
287,Food,3773.62
288,Travel,1004.81
289,Food,3110.46
290,Travel,639.84
291,Food,2824.21
292,Travel,2330.52
293,Shopping,3836.82
294,Travel,3033.4
295,Food,3891.18
296,Travel,4823.96
297,Food,2897.64
298,Shopping,2883.23
299,Rent,1989.31
300,Travel,389.22
301,Travel,518.49
302,Shopping,4252.96
303,Utilities,4029.58
304,Utilities,3915.35
305,Shopping,2668.4
306,Shopping,354.09
307,Shopping,73.13
308,Rent,4113.43
309,Food,2173.28
310,Shopping,3181.57
311,Rent,3539.47
312,Rent,888.92
313,Utilities,4827.71
314,Shopping,3083.4
315,Utilities,3875.46
316,Rent,2183.52
317,Utilities,1349.29
318,Travel,4155.35
319,Food,1401.85
320,Rent,1226.88
321,Rent,2853.55
322,Rent,1688.62
323,Rent,4256.25
324,Travel,2442.87
325,Shopping,3991.18
326,Shopping,1405.5
327,Utilities,3508.91
328,Shopping,2783.4
329,Utilities,4740.83
330,Food,1214.37
331,Rent,2448.0
332,Travel,3456.14
333,Rent,2246.39
334,Food,474.34
335,Travel,2027.96
336,Travel,1537.97
337,Utilities,1851.41
338,Utilities,2659.3
339,Rent,4983.19
340,Utilities,1660.65
341,Rent,1361.87
342,Shopping,1160.38
343,Travel,1584.58
344,Utilities,4754.88
345,Travel,965.79
346,Rent,1389.73
347,Utilities,4883.27
348,Utilities,2987.99
349,Food,4164.82
350,Shopping,1145.14
351,Travel,1518.32
352,Utilities,641.65
353,Food,4871.73
354,Utilities,1467.76
355,Travel,3192.97
356,Rent,521.91
357,Food,2874.58
358,Rent,2398.78
359,Shopping,929.97
360,Food,1269.87
361,Rent,579.29
362,Food,2009.53
363,Food,2889.34
364,Food,767.12
365,Utilities,4746.14
366,Food,4969.65
367,Food,2794.78
368,Rent,3035.53
369,Utilities,1136.18
370,Utilities,1908.09
371,Rent,1493.79
372,Utilities,4950.26
373,Shopping,2847.46
374,Food,3052.06
375,Food,4738.48
376,Travel,3131.32
377,Shopping,3305.54
378,Travel,1206.93
379,Utilities,384.57
380,Food,2048.5
381,Utilities,2354.86
382,Food,1165.07
383,Shopping,3517.91
384,Rent,365.19
385,Travel,4620.32
386,Utilities,3309.3
387,Travel,2131.44
388,Utilities,1131.8
389,Travel,4542.97
390,Travel,366.34
391,Travel,3965.22
392,Utilities,3747.3
393,Utilities,4606.75
394,Rent,630.52
395,Shopping,3501.67
396,Shopping,2507.36
397,Rent,2194.42
398,Utilities,208.91
399,Rent,3675.32
400,Utilities,1259.34
401,Food,1152.33
402,Utilities,2939.74
403,Food,4997.87
404,Shopping,2885.47
405,Travel,2357.8
406,Rent,4581.2
407,Travel,4984.76
408,Rent,3177.58
409,Rent,4845.59
410,Rent,1746.33
411,Shopping,1612.08
412,Food,4290.09
413,Shopping,2064.11
414,Rent,1448.21
415,Rent,4069.69
416,Utilities,193.12
417,Food,1579.44
418,Shopping,588.45
419,Rent,4325.9
420,Food,3291.73
421,Utilities,2315.26
422,Food,946.04
423,Shopping,3116.94
424,Rent,3130.79
425,Food,1025.76
426,Utilities,663.76
427,Shopping,2196.2
428,Rent,615.92
429,Utilities,3998.58
430,Travel,1560.64
431,Food,2765.73
432,Food,1131.26
433,Food,2312.62
434,Food,3242.07
435,Travel,2496.89
436,Shopping,2549.27
437,Shopping,2083.3
438,Rent,4901.42
439,Travel,2289.36
440,Travel,1924.09
441,Utilities,2546.12
442,Travel,4321.49
443,Shopping,3865.65
444,Rent,1705.98
445,Utilities,1343.19
446,Food,1421.37
447,Shopping,4189.0
448,Utilities,4994.52
449,Rent,4327.65
450,Rent,2697.52
451,Shopping,1668.88
452,Utilities,1892.28
453,Shopping,4349.31
454,Travel,2863.27
455,Travel,4281.5
456,Rent,227.8
457,Rent,3529.09
458,Rent,1936.53
459,Travel,2481.69
460,Food,639.97
461,Utilities,1666.65
462,Food,4372.21
463,Rent,507.56
464,Rent,86.58
465,Travel,2055.79
466,Travel,383.39
467,Shopping,1699.42
468,Rent,3252.68
469,Shopping,4263.18
470,Utilities,1906.25
471,Shopping,3137.73
472,Rent,4363.19
473,Food,3091.12
474,Travel,3159.49
475,Shopping,4987.16
476,Food,2175.52
477,Food,3804.24
478,Food,2223.96
479,Shopping,4518.09
480,Food,1628.63
481,Food,1473.91
482,Shopping,2159.13
483,Travel,2660.52
484,Utilities,3412.18
485,Travel,858.22
486,Food,3051.36
487,Rent,3102.35
488,Travel,2493.36
489,Utilities,724.16
490,Rent,3193.14
491,Rent,1284.08
492,Food,4495.55
493,Rent,4507.04
494,Utilities,798.3
495,Rent,4726.73
496,Utilities,1502.78
497,Rent,3454.66
498,Rent,4228.07
499,Travel,4996.87
500,Rent,542.2
501,Rent,2863.89
502,Utilities,1486.4
503,Shopping,119.48
504,Rent,1379.66
505,Utilities,4326.69
506,Food,4553.98
507,Rent,4165.87
508,Shopping,3880.95
509,Travel,3039.25
510,Shopping,1102.83
511,Travel,3108.25
512,Travel,3144.96
513,Food,1551.58
514,Rent,176.49
515,Shopping,3664.48
516,Food,4549.04
517,Shopping,3739.93
518,Travel,1011.97
519,Utilities,4383.54
520,Shopping,2658.95
521,Shopping,4154.06
522,Shopping,4571.1
523,Rent,4837.25
524,Shopping,3735.33
525,Shopping,4023.12
526,Rent,4814.84
527,Travel,3773.22
528,Travel,4302.1
529,Rent,4836.68
530,Utilities,1835.22
531,Rent,79.45
532,Utilities,626.71
533,Shopping,3367.41
534,Shopping,2926.95
535,Shopping,550.65
536,Travel,2362.67
537,Utilities,4422.33
538,Utilities,1646.75
539,Utilities,1114.62
540,Food,3180.67
541,Rent,4547.84
542,Shopping,3249.7
543,Food,707.49
544,Food,1528.78
545,Rent,589.44
546,Travel,4437.42
547,Travel,1949.34
548,Shopping,3355.73
549,Utilities,2101.44
550,Travel,4428.21
551,Food,4170.13
552,Utilities,2046.5
553,Shopping,173.25
554,Shopping,1094.18
555,Rent,4753.27
556,Shopping,505.78
557,Shopping,2726.88
558,Shopping,312.14
559,Shopping,957.14
560,Food,4745.56
561,Rent,467.45
562,Travel,3212.11
563,Utilities,4855.76
564,Food,3936.11
565,Travel,4944.22
566,Utilities,1033.98
567,Utilities,1043.72
568,Travel,4067.13
569,Travel,1649.51
570,Travel,3945.33
571,Utilities,24.15
572,Travel,4937.76
573,Utilities,1260.76
574,Travel,558.53
575,Food,667.7
576,Shopping,3952.02
577,Travel,2948.38
578,Food,879.49
579,Food,642.53
580,Rent,2635.17
581,Food,2386.47
582,Shopping,2571.06
583,Food,2265.51
584,Travel,4727.62
585,Food,3638.94
586,Utilities,1515.14
587,Food,313.52
588,Rent,4238.02
589,Rent,3433.63
590,Rent,3564.88
591,Rent,376.72
592,Food,1617.34
593,Travel,337.75
594,Shopping,3125.34
595,Utilities,2746.3
596,Shopping,1910.71
597,Utilities,2657.48
598,Rent,2532.7
599,Rent,504.9
600,Food,4265.44
601,Utilities,3606.99
602,Travel,2156.05
603,Travel,2074.93
604,Rent,1999.66
605,Food,1569.62
606,Shopping,3328.89
607,Shopping,4768.43
608,Rent,345.0
609,Food,475.22
610,Food,3725.5
611,Shopping,4060.73
612,Utilities,309.31
613,Utilities,2812.8
614,Food,2059.94
615,Rent,4341.78
616,Food,4842.31
617,Utilities,1569.12
618,Food,2893.81
619,Travel,782.1
620,Rent,1128.98
621,Food,1757.07
622,Utilities,1844.13
623,Shopping,2874.76
624,Rent,4227.32
625,Utilities,3071.73
626,Utilities,141.01
627,Shopping,154.48
628,Shopping,3516.47
629,Shopping,4608.47
630,Shopping,40.47
631,Travel,2835.94
632,Rent,357.23
633,Food,467.87
634,Utilities,1083.51
635,Rent,2273.69
636,Travel,1856.56
637,Shopping,3886.41
638,Utilities,2985.16
639,Food,786.34
640,Utilities,258.31
641,Food,1367.79
642,Rent,2433.45
643,Rent,2076.78
644,Travel,3777.17
645,Food,1732.41
646,Food,1423.4
647,Utilities,2438.3
648,Shopping,236.63
649,Rent,4922.38
650,Food,48.36
651,Shopping,4727.17
652,Travel,3823.16
653,Shopping,1647.33
654,Food,2491.95
655,Rent,886.72
656,Rent,2667.59
657,Travel,2506.31
658,Shopping,369.66
659,Food,2186.74
660,Rent,4606.6
661,Shopping,2883.04
662,Utilities,2028.07
663,Rent,1454.68
664,Rent,114.07
665,Shopping,867.65
666,Utilities,2305.88
667,Shopping,449.77
668,Food,1224.15
669,Utilities,2008.24
670,Food,1984.88
671,Shopping,3731.57
672,Travel,1672.01
673,Travel,391.13
674,Food,2657.72
675,Travel,4530.55
676,Shopping,1761.99
677,Travel,1188.98
678,Travel,1287.28
679,Travel,3015.97
680,Food,893.96
681,Rent,2325.13
682,Utilities,3801.79
683,Rent,3408.86
684,Utilities,3218.53
685,Utilities,1622.81
686,Shopping,763.28
687,Food,2349.92
688,Shopping,3983.69
689,Utilities,290.3
690,Utilities,380.21
691,Rent,2265.05
692,Food,1850.0
693,Shopping,392.89
694,Food,3078.89
695,Utilities,1928.57
696,Utilities,2776.04
697,Food,2254.17
698,Utilities,3262.67
699,Shopping,3028.98
700,Utilities,762.8
701,Food,2258.11
702,Shopping,4912.1
703,Food,2527.7
704,Travel,205.32
705,Rent,4955.02
706,Utilities,2618.51
707,Travel,1825.85
708,Shopping,1943.21
709,Shopping,3397.7
710,Food,3948.24
711,Shopping,338.9
712,Food,2794.24
713,Rent,1427.89
714,Utilities,4367.67
715,Shopping,416.69
716,Travel,4584.56
717,Shopping,4838.81
718,Rent,653.47
719,Food,1554.81
720,Rent,3221.03
721,Shopping,4067.79
722,Utilities,476.33
723,Rent,2547.36
724,Food,1819.36
725,Travel,4756.33
726,Shopping,4738.86
727,Rent,968.11
728,Travel,783.18
729,Shopping,4223.7
730,Food,2543.37
731,Utilities,4177.25
732,Utilities,198.36
733,Shopping,4383.2
734,Utilities,663.93
735,Rent,779.72
736,Travel,4158.41
737,Utilities,4047.13
738,Travel,3608.7
739,Food,2060.18
740,Travel,4848.25
741,Utilities,1431.79
742,Rent,1177.67
743,Travel,1554.24
744,Rent,4520.83
745,Travel,1845.53
746,Utilities,4922.35
747,Rent,3849.5
748,Rent,2519.5
749,Rent,4831.68
750,Travel,4008.28
751,Travel,4366.28
752,Food,3209.48
753,Shopping,2777.16
754,Food,3559.89
755,Utilities,4257.32
756,Shopping,428.54
757,Travel,1371.23
758,Utilities,745.27
759,Rent,467.65
760,Travel,4085.35
761,Shopping,4653.05
762,Rent,275.75
763,Utilities,1876.07
764,Rent,4972.68
765,Shopping,1130.45
766,Shopping,4654.82
767,Shopping,3958.99
768,Travel,201.13
769,Rent,3483.4
770,Travel,3796.62
771,Rent,2248.52
772,Food,4530.23
773,Food,1287.06
774,Travel,2748.53
775,Utilities,2643.58
776,Food,3883.1
777,Travel,1512.74
778,Food,1199.81
779,Utilities,2291.0
780,Food,4185.07
781,Rent,2987.73
782,Food,3163.46
783,Utilities,1217.27
784,Travel,1463.45
785,Food,3077.9
786,Travel,2857.61
787,Travel,3325.21
788,Food,2622.19
789,Shopping,347.72
790,Utilities,2724.97
791,Utilities,2775.22
792,Rent,4367.92
793,Food,3182.0
794,Shopping,1275.71
795,Food,1791.9
796,Food,1730.56
797,Food,3859.79
798,Shopping,675.71
799,Shopping,2734.61
800,Travel,4153.61
801,Rent,4904.29
802,Rent,3162.36
803,Travel,324.87
804,Rent,194.55
805,Travel,228.59
806,Travel,4430.09
807,Shopping,4667.52
808,Utilities,1997.14
809,Utilities,2372.26
810,Food,3768.92
811,Travel,1437.69
812,Food,4330.33
813,Shopping,1373.35
814,Shopping,2190.39
815,Rent,3719.11
816,Rent,1701.79
817,Travel,2486.05
818,Rent,1843.06
819,Utilities,1340.94
820,Food,3638.14
821,Food,2158.73
822,Travel,2731.92
823,Shopping,521.96
824,Shopping,3307.99
825,Shopping,2235.12
826,Rent,841.56
827,Rent,1764.22
828,Food,3636.8
829,Shopping,3078.11
830,Rent,1380.03
831,Food,384.46
832,Rent,1822.92
833,Travel,4764.42
834,Travel,4244.86
835,Rent,183.65
836,Food,1187.62
837,Shopping,1817.13
838,Utilities,171.6
839,Travel,3398.52
840,Shopping,1866.35
841,Food,2873.87
842,Utilities,1841.08
843,Shopping,3251.31
844,Travel,4803.0
845,Food,3681.02
846,Rent,2593.55
847,Utilities,597.63
848,Shopping,3523.15
849,Travel,4981.86
850,Shopping,3472.96
851,Rent,1008.89
852,Travel,4265.6
853,Rent,871.56
854,Rent,4986.34
855,Shopping,3342.52
856,Food,2754.49
857,Shopping,4457.75
858,Travel,3561.93
859,Travel,3970.54
860,Utilities,1128.97
861,Travel,3962.41
862,Travel,3953.96
863,Food,1810.87
864,Utilities,1850.87
865,Utilities,657.56
866,Food,338.08
867,Rent,4997.98
868,Rent,2633.22
869,Rent,4118.46
870,Food,635.38
871,Shopping,3215.27
872,Rent,2334.51
873,Utilities,1729.13
874,Utilities,3202.57
875,Travel,3841.23
876,Travel,2168.77
877,Food,4158.64
878,Utilities,773.55
879,Travel,818.22
880,Travel,1736.66
881,Utilities,4475.68
882,Food,1260.52
883,Utilities,1379.51
884,Shopping,3076.0
885,Food,2517.84
886,Travel,2963.12
887,Utilities,779.43
888,Utilities,3605.96
889,Utilities,1694.72
890,Utilities,215.56
891,Food,415.3
892,Utilities,1330.63
893,Travel,3837.13
894,Rent,3094.36
895,Food,2495.21
896,Utilities,1455.46
897,Shopping,2419.89
898,Rent,1494.2
899,Food,3446.18
900,Travel,2203.63
901,Rent,2327.57
902,Shopping,3037.23
903,Shopping,4308.81
904,Shopping,3673.66
905,Shopping,4877.12
906,Travel,3805.72
907,Utilities,2812.64
908,Shopping,1216.27
909,Food,1344.68
910,Travel,712.98
911,Food,1458.16
912,Rent,4322.18
913,Rent,1248.87
914,Travel,4069.25
915,Utilities,3608.43
916,Travel,3817.98
917,Rent,4979.89
918,Rent,2498.81
919,Shopping,2491.88
920,Food,4726.71
921,Utilities,2291.58
922,Travel,1083.57
923,Shopping,252.8
924,Shopping,2479.52
925,Rent,1435.88
926,Food,4237.39
927,Rent,678.34
928,Shopping,3640.27
929,Rent,1836.03
930,Rent,265.28
931,Utilities,981.33
932,Utilities,1450.12
933,Rent,2526.24
934,Utilities,1405.81
935,Utilities,3405.19
936,Food,652.03
937,Food,1975.58
938,Shopping,2793.58
939,Shopping,3777.28
940,Travel,3016.29
941,Rent,2505.39
942,Food,204.18
943,Shopping,4021.79
944,Utilities,2290.37
945,Utilities,4466.73
946,Travel,1646.55
947,Utilities,1599.46
948,Rent,4953.17
949,Shopping,2972.69
950,Utilities,4143.16
951,Utilities,2454.33
952,Utilities,1505.95
953,Food,1848.11
954,Food,4899.69
955,Utilities,1545.31
956,Food,2988.58
957,Shopping,4835.68
958,Utilities,2892.4
959,Food,2921.78
960,Travel,2625.92
961,Utilities,3875.28
962,Rent,747.4
963,Travel,167.54
964,Food,962.01
965,Rent,1575.33
966,Travel,2070.67
967,Travel,2057.78
968,Utilities,4603.4
969,Food,3531.82
970,Utilities,1044.64
971,Shopping,4990.63
972,Rent,2632.13
973,Shopping,4783.86
974,Rent,4561.5
975,Shopping,2735.9
976,Shopping,3054.28
977,Travel,4787.11
978,Shopping,2794.85
979,Travel,4708.01
980,Shopping,3858.16
981,Travel,3454.3
982,Rent,1592.03
983,Shopping,2806.83
984,Shopping,1446.07
985,Utilities,3386.35
986,Rent,4479.84
987,Rent,4093.7
988,Travel,1459.36
989,Shopping,4777.02
990,Food,1738.35
991,Rent,3283.3
992,Rent,1077.79
993,Utilities,1362.95
994,Utilities,3483.89
995,Travel,555.04
996,Utilities,1204.02
997,Food,3352.47
998,Utilities,1136.1
999,Travel,271.93
1000,Rent,1658.17
1001,Rent,511.72
1002,Travel,35.86
1003,Utilities,4889.77
1004,Travel,2040.47
1005,Rent,2392.47
1006,Travel,3782.0
1007,Shopping,1612.63
1008,Food,4540.61
1009,Food,3264.97
1010,Travel,2680.41
1011,Food,4567.02
1012,Travel,2095.25
1013,Travel,4670.27
1014,Food,4985.89
1015,Rent,3941.92
1016,Travel,4683.68
1017,Shopping,4384.95
1018,Food,1498.98
1019,Utilities,545.43
1020,Shopping,1429.96
1021,Utilities,2626.35
1022,Travel,4256.79
1023,Rent,1371.46
1024,Food,1660.11
1025,Rent,3244.94
1026,Travel,80.28
1027,Shopping,3955.93
1028,Utilities,3375.26
1029,Travel,885.72
1030,Rent,4136.68
1031,Utilities,1646.35
1032,Rent,3349.59
1033,Travel,4908.61
1034,Rent,1624.77
1035,Travel,44.08
1036,Rent,1185.25
1037,Shopping,4770.63
1038,Shopping,2916.48
1039,Utilities,67.06
1040,Shopping,3466.92
1041,Food,3342.25
1042,Rent,1540.96
1043,Rent,3433.51
1044,Shopping,3454.55
1045,Shopping,1844.04
1046,Travel,1103.45
1047,Travel,2396.13
1048,Rent,3741.2
1049,Utilities,1874.39
1050,Utilities,4564.86
1051,Utilities,4011.96
1052,Travel,3811.68
1053,Utilities,4366.94
1054,Food,2632.28
1055,Utilities,3521.79
1056,Food,4587.05
1057,Food,318.17
1058,Utilities,4515.41
1059,Travel,2867.78
1060,Travel,831.04
1061,Utilities,2214.78
1062,Travel,3587.42
1063,Rent,463.8
1064,Utilities,2232.96
1065,Food,2272.63
1066,Utilities,2082.97
1067,Utilities,298.11
1068,Rent,3367.11
1069,Shopping,3619.17
1070,Rent,1279.74
1071,Food,3731.56
1072,Utilities,374.42
1073,Rent,1729.2
1074,Food,2710.41
1075,Food,4673.57
1076,Food,4930.82
1077,Rent,168.36
1078,Rent,908.11
1079,Travel,3831.48
1080,Rent,1878.56
1081,Rent,2248.2
1082,Rent,1884.47
1083,Utilities,673.62
1084,Shopping,601.98
1085,Utilities,1971.36
1086,Travel,3642.01
1087,Travel,4175.76
1088,Food,4892.67
1089,Rent,3370.76
1090,Utilities,2126.4
1091,Rent,4118.57
1092,Travel,2308.52
1093,Travel,1385.49
1094,Food,170.76
1095,Rent,3078.47
1096,Food,1210.92
1097,Food,513.47
1098,Food,2237.74
1099,Food,1231.22
1100,Food,2017.3
1101,Travel,2703.4
1102,Food,709.28
1103,Shopping,1178.47
1104,Utilities,1601.33
1105,Utilities,3864.97
1106,Shopping,1192.15
1107,Travel,4928.62
1108,Utilities,1113.0
1109,Shopping,1383.02
1110,Utilities,4743.12
1111,Travel,3133.71
1112,Rent,2783.69
1113,Food,4861.73
1114,Rent,3931.16
1115,Shopping,3484.58
1116,Rent,754.6
1117,Rent,927.56
1118,Utilities,2372.86
1119,Travel,1510.67
1120,Travel,4030.82
1121,Food,2816.31
1122,Rent,2790.86
1123,Travel,1948.21
1124,Shopping,1024.65
1125,Food,4611.91
1126,Shopping,471.4
1127,Travel,267.17
1128,Rent,3371.62
1129,Utilities,207.34
1130,Food,948.93
1131,Utilities,3624.28
1132,Utilities,1092.91
1133,Travel,4348.67
1134,Shopping,1522.91
1135,Food,1066.92
1136,Travel,4810.77
1137,Food,3736.93
1138,Rent,4573.06
1139,Utilities,3521.81
1140,Rent,4576.48
1141,Utilities,1614.86
1142,Shopping,1909.5
1143,Utilities,3247.12
1144,Shopping,1315.19
1145,Utilities,4415.23
1146,Rent,502.06
1147,Rent,3810.53
1148,Shopping,4572.51
1149,Shopping,1571.48
1150,Food,2817.0
1151,Travel,3708.85
1152,Food,1311.26
1153,Utilities,2899.92
1154,Rent,1483.01
1155,Travel,1656.03
1156,Rent,2853.25
1157,Travel,2501.51
1158,Shopping,1294.06
1159,Rent,4832.88
1160,Rent,2309.54
1161,Shopping,854.64
1162,Utilities,2446.7
1163,Utilities,4951.71
1164,Food,2624.48
1165,Food,4726.49
1166,Food,3824.05
1167,Rent,696.08
1168,Travel,349.16
1169,Travel,55.62
1170,Utilities,2285.49
1171,Food,3093.0
1172,Utilities,4564.63
1173,Rent,88.5
1174,Utilities,2762.7
1175,Food,93.46
1176,Shopping,2683.33
1177,Shopping,95.54
1178,Rent,4032.78
1179,Travel,544.01
1180,Food,2626.68
1181,Travel,967.74
1182,Utilities,1269.57
1183,Shopping,1343.95
1184,Rent,404.31
1185,Rent,2300.4
1186,Travel,4951.26
1187,Travel,1506.87
1188,Food,3272.14
1189,Food,476.57
1190,Rent,1892.08
1191,Rent,290.01
1192,Food,3517.2
1193,Food,2504.29
1194,Rent,3228.09
1195,Shopping,2833.62
1196,Food,4475.01
1197,Food,1156.53
1198,Utilities,2382.75
1199,Food,4621.55
1200,Shopping,4497.57
1201,Utilities,3293.97
1202,Travel,4644.54
1203,Shopping,88.13
1204,Travel,2939.31
1205,Rent,4645.09
1206,Shopping,820.63
1207,Travel,2837.81
1208,Rent,3388.4
1209,Utilities,1665.33
1210,Travel,3954.59
1211,Food,2508.96
1212,Shopping,277.95
1213,Rent,1168.4
1214,Food,1709.56
1215,Utilities,4774.74
1216,Rent,4844.91
1217,Shopping,157.83
1218,Shopping,3919.91
1219,Rent,2458.11
1220,Shopping,2769.66
1221,Rent,2164.92
1222,Utilities,3306.75
1223,Food,3863.12
1224,Shopping,3992.3
1225,Food,419.37
1226,Travel,1906.2
1227,Travel,3700.88
1228,Shopping,1809.89
1229,Food,35.92
1230,Shopping,2229.23
1231,Shopping,520.13
1232,Food,945.08
1233,Rent,2789.36
1234,Utilities,2046.14
1235,Food,457.2
1236,Utilities,474.39
1237,Utilities,3924.35
1238,Rent,71.58
1239,Rent,1945.12
1240,Food,3626.97
1241,Utilities,4526.99
1242,Travel,2864.08
1243,Travel,3429.73
1244,Travel,702.81
1245,Shopping,1349.35
1246,Travel,325.7
1247,Rent,1387.05
